restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"KFC, Pondok Chandra",,5.0,Alhamdulillah mantap,,,
"KFC, Pondok Chandra",Leny Widiowati,5.0,Alhamdulillah mantap,1 Pc Chicken + 1 Rice,26 January 2026,Gojek user since 30 October 2015
"KFC, Pondok Chandra",A**** R**** A*****,2.0,"Lama bgt, dan harusnya diproses dlu sblm drivernya dtg. Kasian driver nunggu lama",Spaghetti Supreme - KFC Soup - 5 Pcs Chicken - 1 Pc Chicken - Twisty,20 January 2026,Gojek user since 31 March 2016
"KFC, Pondok Chandra",N*****,3.0,Request ayam paha atas malah di kasih ayam paha bawah,Chick Ball BBQ - Oriental Don - Petoook Solo - 1 Pc Chicken,28 December 2025,Gojek user since 10 August 2023
"KFC, Pondok Chandra",Henda,1.0,Sudah ditulis chili sauce tetap di campur tomato.. tolong profesional sedikit jgn asal asalan..,LDR Package - Super Komplit 1,24 December 2025,Gojek user since 18 January 2022
"KFC, Pondok Chandra",Arry Mulyanto,5.0,Tepung nya Crispy Mantab,KFC Winger - Rice - Telur Dadar,22 December 2025,Gojek user since 12 December 2018
"KFC, Pondok Chandra",M****,5.0,"Terima kasih, semoga slalu konsisten dalam rasa yaa.. jgn pernah berubah🥰",Triple Treat,1 January 2026,Gojek user since 2 May 2018
"KFC, Pondok Chandra",Maria Gracia Vanjacob,5.0,always delicious good taste fresh,1 Pc Chicken + 1 Rice,26 January 2026,Gojek user since 28 December 2021
"KFC, Pondok Chandra",Siska,5.0,baik dan ok mantap,Petoook Duo - 1 Pc Chicken,1 January 2026,Gojek user since 12 May 2019
"KFC, Pondok Chandra",Ahmadi HK,5.0,enaaaak pake bangeeeeet,LDR Package,17 January 2026,Gojek user since 14 July 2017
"KFC, Pondok Chandra",Koes Miani,5.0,jelasñ pasti enak pakai gojek,Triple Treat,27 December 2025,Gojek user since 26 September 2017
"KFC, Pondok Chandra",suciati,3.0,makin kecil ukuran ayamnya...promo berubah biasa dpt 5 skrg spt 4,4 Pcs Chicken - LDR Package,22 December 2025,Gojek user since 7 April 2020
"KFC, Pondok Chandra",Tirta,5.0,"mantap chef, packingnya rapi terus kalo rasa ga usah ditanyakan enakkkk pollll, semangat terus! terimakasih sudah melayani saya🙏",Petoook Solo,12 January 2026,Gojek user since 10 January 2026
"KFC, Pondok Chandra",Yusnanik,5.0,mantul pas di lidah tp kok harga naik ya....kalo boleh saran sih boleh naik tp agak di tambah dikit porsinya😊🙏selebihnya nya ok👌,1 Pc Chicken,29 December 2025,Gojek user since 13 December 2018
"KFC, Pondok Chandra",Ramadhani,5.0,nasi uduknya enak banget,Nasi Uduk - KFC Noodle - KFC Soup,22 January 2026,Gojek user since 1 January 2016
"KFC, Pondok Chandra",M*********,5.0,ok.. TERIMA KASIH,Triple Treat,3 January 2026,Gojek user since 27 July 2016
"KFC, Pondok Chandra",Suliyanto,2.0,"rasanya kurang enak nasinya terasa hambar, ayamnya kurang gurih",1 Pc Chicken + 1 Rice,12 December 2025,Gojek user since 1 October 2015
"KFC, Pondok Chandra",N******* A**** C*******,5.0,sais sambelnya aja sih mungkin bisa di tambah.,4 Pcs Chicken,22 December 2025,Gojek user since 13 January 2021
"KFC, Pondok Chandra",Rudy,1.0,sangat terlambat dan banyak alasan. padahal kurur datang 1 jam setelah pemesanan trrnyata masih menunggu karrna maaih belum selesai proses. tamunausah pulang semua,9 Pcs Chicken Bucket,9 January 2026,Gojek user since 6 June 2017
